,targetId,hasSafetyEvent,maxClinicalTrialPhase,tissueSpecificity,tissueDistribution,uniqueTherapeuticAreas,uniqueDiseases,maxEffectiveSampleSize,earliestPublicationDate,approvedSymbol,lofConstraint,misConstraint,synConstraint,pathwayCount
1198,ENSG00000164258,0,1.0,-1.0,-1.0,2,2,575147.0632428399,2023-11-09,NDUFS4,-0.51900005,-0.032322,-1.2093,2
1199,ENSG00000165029,0,1.0,-1.0,-1.0,9,17,1424218.0900670097,2012-03-07,ABCA1,0.43699998,3.076,1.3522,4
1200,ENSG00000165264,0,1.0,-1.0,-1.0,0,0,0.01,2025-01-01,NDUFB6,-0.92499995,-0.20678,-0.40499,3
1201,ENSG00000165731,0,1.0,0.5,0.0,2,2,251325.91086204,2016-10-03,RET,0.76,2.6933,1.1228,5
1202,ENSG00000166483,0,0.5,-1.0,-1.0,1,4,332092.8064672836,2020-02-10,WEE1,0.595,1.8732,-1.5819,7
1203,ENSG00000167601,1,1.0,-1.0,-1.0,1,1,14145.711748532529,2023-01-18,AXL,0.375,2.1744,0.87734,1
1204,ENSG00000167653,0,0.5,1.0,0.0,4,14,301203.06999851385,2010-10-24,PSCA,-0.865,-0.78981,-0.1686,1
1205,ENSG00000168830,0,1.0,0.5,0.5,0,0,0.01,2025-01-01,HTR1E,-0.40699995,1.5698,0.80451,2
1206,ENSG00000168918,0,0.75,0.5,0.0,6,8,340825.7076940272,2019-07-30,INPP5D,0.621,3.5253,0.25392,6
1207,ENSG00000169032,0,1.0,-1.0,-1.0,2,5,1778690.168860174,2017-06-12,MAP2K1,0.485,3.7569,0.267,15
1208,ENSG00000169083,1,1.0,0.5,0.0,4,5,500292.45069431677,2011-07-10,AR,,,,6
1209,ENSG00000169398,1,0.5,-1.0,-1.0,5,14,645988.1975077938,2018-07-30,PTK2,0.601,3.7869,0.77789,17
1210,ENSG00000171132,1,1.0,0.5,-1.0,6,10,461914.58891516324,2017-12-06,PRKCE,0.722,4.9304,-0.030254,5
