Term	ID	es	nes	pval	sidak	fdr	geneset_size	leading_edge	propagated_edge
chloride channel complex	GO:0034707	-0.3606422461114238	-0.8314326831006333	0.40572924213821704	1.0		22	ENSG00000145864,ENSG00000184908,ENSG00000039987,ENSG00000113327,ENSG00000022355,ENSG00000136295,ENSG00000127325,ENSG00000163288,ENSG00000145888,ENSG00000179520,ENSG00000188037,ENSG00000094755,ENSG00000167614,ENSG00000145451,ENSG00000151834	ENSG00000189143,ENSG00000065600,ENSG00000114859,ENSG00000184908,ENSG00000186510,ENSG00000145863,ENSG00000127325,ENSG00000011677,ENSG00000187730,ENSG00000159212,ENSG00000151834,ENSG00000145864,ENSG00000022355,ENSG00000183185,ENSG00000111886,ENSG00000167995,ENSG00000121940,ENSG00000104888,ENSG00000081087,ENSG00000213719,ENSG00000225697,ENSG00000131620,ENSG00000145888,ENSG00000145451,ENSG00000186297,ENSG00000156282,ENSG00000163288,ENSG00000103249,ENSG00000109158,ENSG00000177119,ENSG00000167614,ENSG00000155962,ENSG00000091664,ENSG00000188037,ENSG00000166206,ENSG00000182256,ENSG00000169583,ENSG00000136295,ENSG00000102287,ENSG00000146276,ENSG00000039987,ENSG00000001626,ENSG00000101958,ENSG00000164073,ENSG00000109738,ENSG00000141540,ENSG00000094755,ENSG00000179520,ENSG00000113327,ENSG00000163285,ENSG00000142959,ENSG00000268089,ENSG00000112782,ENSG00000169504
endoplasmic reticulum tubular network	GO:0071782	-0.33284955581827624	-0.8300681314607353	0.4065002639692956	1.0		11	ENSG00000168476,ENSG00000068615,ENSG00000115310,ENSG00000141699,ENSG00000198513	ENSG00000168476,ENSG00000181852,ENSG00000144320,ENSG00000141699,ENSG00000115310,ENSG00000138617,ENSG00000155256,ENSG00000099246,ENSG00000084733,ENSG00000068615,ENSG00000151883,ENSG00000108424,ENSG00000132563,ENSG00000198513,ENSG00000115839,ENSG00000137817,ENSG00000170540,ENSG00000184743,ENSG00000165476
anaphase-promoting complex	GO:0005680	0.48964553631212215	0.8203550732427668	0.4120137190727442	1.0		6	ENSG00000053900	ENSG00000044090,ENSG00000053900,ENSG00000130177,ENSG00000196510,ENSG00000141552,ENSG00000153107,ENSG00000094880,ENSG00000156970,ENSG00000129055,ENSG00000166295,ENSG00000108106,ENSG00000110200,ENSG00000116670,ENSG00000117399,ENSG00000175063,ENSG00000105325,ENSG00000164287,ENSG00000176248,ENSG00000089053,ENSG00000004897,ENSG00000176386
basal part of cell	GO:0045178	0.49967272507571203	0.8102037491987869	0.417823083041547	1.0		8	ENSG00000053918	ENSG00000053918,ENSG00000163646,ENSG00000186847,ENSG00000010704,ENSG00000137509,ENSG00000213949,ENSG00000110911,ENSG00000143199,ENSG00000078401,ENSG00000183607,ENSG00000078098,ENSG00000091513,ENSG00000051128,ENSG00000116641,ENSG00000013297
intercalated disc	GO:0014704	0.4494075956894822	0.8070328477939126	0.41964755868725456	1.0		26	ENSG00000123700,ENSG00000154639,ENSG00000168036,ENSG00000151320,ENSG00000183873,ENSG00000143153	ENSG00000135723,ENSG00000173801,ENSG00000150093,ENSG00000018625,ENSG00000182533,ENSG00000145362,ENSG00000134755,ENSG00000183023,ENSG00000177098,ENSG00000046604,ENSG00000163126,ENSG00000128245,ENSG00000109061,ENSG00000183873,ENSG00000044115,ENSG00000124006,ENSG00000129682,ENSG00000151320,ENSG00000151150,ENSG00000168036,ENSG00000105711,ENSG00000175084,ENSG00000170558,ENSG00000154639,ENSG00000266964,ENSG00000075711,ENSG00000117394,ENSG00000108961,ENSG00000265107,ENSG00000090020,ENSG00000154330,ENSG00000096696,ENSG00000164983,ENSG00000130037,ENSG00000123700,ENSG00000057294,ENSG00000143153,ENSG00000149269,ENSG00000168899,ENSG00000152661,ENSG00000160460,ENSG00000144285,ENSG00000121879,ENSG00000136868
cortical actin cytoskeleton	GO:0030864	-0.1438541190482489	-0.8062660195597847	0.4200894791050298	1.0		33	ENSG00000158528,ENSG00000170011,ENSG00000131899,ENSG00000079337,ENSG00000137877,ENSG00000125868,ENSG00000117394,ENSG00000127946,ENSG00000173898,ENSG00000172757,ENSG00000166866,ENSG00000115648,ENSG00000077522,ENSG00000102879,ENSG00000130402,ENSG00000158352,ENSG00000170558	ENSG00000132589,ENSG00000070182,ENSG00000115648,ENSG00000137877,ENSG00000130402,ENSG00000103187,ENSG00000146950,ENSG00000158352,ENSG00000111199,ENSG00000072110,ENSG00000172757,ENSG00000156508,ENSG00000248746,ENSG00000140575,ENSG00000073350,ENSG00000115306,ENSG00000131236,ENSG00000071127,ENSG00000132434,ENSG00000099812,ENSG00000127946,ENSG00000162909,ENSG00000137710,ENSG00000130787,ENSG00000079337,ENSG00000002834,ENSG00000131899,ENSG00000179820,ENSG00000164741,ENSG00000108819,ENSG00000204311,ENSG00000163554,ENSG00000039068,ENSG00000118579,ENSG00000170011,ENSG00000102879,ENSG00000184113,ENSG00000170558,ENSG00000173898,ENSG00000263155,ENSG00000117394,ENSG00000077522,ENSG00000132613,ENSG00000148180,ENSG00000152527,ENSG00000197045,ENSG00000197694,ENSG00000160460,ENSG00000166866,ENSG00000137312,ENSG00000158528,ENSG00000125868,ENSG00000170776,ENSG00000138771,ENSG00000130755,ENSG00000186575,ENSG00000164403
heterotrimeric G-protein complex	GO:0005834	-0.3092820252479998	-0.801368755977032	0.4229181973551617	1.0		18	ENSG00000060558,ENSG00000168243,ENSG00000176533,ENSG00000128266,ENSG00000114349,ENSG00000156052,ENSG00000114353,ENSG00000214415,ENSG00000186469,ENSG00000087258	ENSG00000114450,ENSG00000162188,ENSG00000172354,ENSG00000214415,ENSG00000133136,ENSG00000172380,ENSG00000120063,ENSG00000141404,ENSG00000127588,ENSG00000128266,ENSG00000087258,ENSG00000088256,ENSG00000146535,ENSG00000114353,ENSG00000174021,ENSG00000186469,ENSG00000060558,ENSG00000242616,ENSG00000087460,ENSG00000127928,ENSG00000176533,ENSG00000156049,ENSG00000168243,ENSG00000069966,ENSG00000167083,ENSG00000156052,ENSG00000127955,ENSG00000111664,ENSG00000127920,ENSG00000134183,ENSG00000114349,ENSG00000167414,ENSG00000283980,ENSG00000078369
presynaptic cytosol	GO:0099523	-0.3171803249698531	-0.8000468767445679	0.42368363808221376	1.0		12	ENSG00000136854,ENSG00000127838,ENSG00000104327,ENSG00000175866,ENSG00000188906	ENSG00000144746,ENSG00000175866,ENSG00000089280,ENSG00000160014,ENSG00000127838,ENSG00000166501,ENSG00000131788,ENSG00000138468,ENSG00000188906,ENSG00000033800,ENSG00000136854,ENSG00000116030,ENSG00000103275,ENSG00000188612,ENSG00000174013,ENSG00000143933,ENSG00000107295,ENSG00000197386,ENSG00000104327,ENSG00000126583,ENSG00000119231,ENSG00000131238,ENSG00000067715,ENSG00000203879,ENSG00000101557,ENSG00000147894,ENSG00000198668
secretory granule membrane	GO:0030667	0.4059506697503926	0.7979960320937577	0.42487279273010103	1.0		57	ENSG00000188404,ENSG00000143226,ENSG00000164756,ENSG00000099246,ENSG00000096433,ENSG00000081237,ENSG00000163596,ENSG00000026508,ENSG00000111540	ENSG00000167434,ENSG00000180104,ENSG00000144452,ENSG00000059804,ENSG00000177105,ENSG00000185475,ENSG00000170348,ENSG00000118640,ENSG00000165646,ENSG00000125810,ENSG00000162747,ENSG00000011600,ENSG00000164756,ENSG00000033627,ENSG00000150995,ENSG00000145740,ENSG00000123570,ENSG00000188404,ENSG00000203710,ENSG00000101307,ENSG00000234745,ENSG00000105649,ENSG00000122986,ENSG00000171051,ENSG00000242550,ENSG00000136238,ENSG00000131504,ENSG00000143226,ENSG00000096433,ENSG00000138246,ENSG00000140575,ENSG00000261371,ENSG00000108405,ENSG00000079931,ENSG00000145730,ENSG00000292366,ENSG00000140678,ENSG00000163596,ENSG00000164855,ENSG00000198178,ENSG00000197405,ENSG00000169403,ENSG00000268500,ENSG00000137462,ENSG00000163464,ENSG00000110719,ENSG00000196549,ENSG00000129083,ENSG00000184584,ENSG00000204577,ENSG00000197081,ENSG00000075785,ENSG00000129450,ENSG00000204525,ENSG00000123338,ENSG00000081237,ENSG00000167578,ENSG00000179869,ENSG00000168461,ENSG00000006534,ENSG00000123104,ENSG00000243414,ENSG00000175582,ENSG00000164687,ENSG00000160072,ENSG00000124333,ENSG00000180871,ENSG00000026508,ENSG00000147234,ENSG00000167964,ENSG00000172057,ENSG00000146094,ENSG00000170458,ENSG00000123454,ENSG00000116815,ENSG00000003147,ENSG00000111540,ENSG00000124570,ENSG00000146409,ENSG00000155093,ENSG00000139725,ENSG00000145703,ENSG00000169228,ENSG00000204936,ENSG00000067560,ENSG00000109472,ENSG00000131981,ENSG00000198168,ENSG00000196352,ENSG00000166825,ENSG00000099246,ENSG00000084733,ENSG00000183020,ENSG00000131355,ENSG00000220205,ENSG00000104112,ENSG00000005844,ENSG00000179751,ENSG00000123146,ENSG00000144635
stress fiber	GO:0001725	0.4211375429411121	0.7913073208727215	0.4287646773945981	1.0		47	ENSG00000100345,ENSG00000145012,ENSG00000196526,ENSG00000073712,ENSG00000151929,ENSG00000169398	ENSG00000143549,ENSG00000104164,ENSG00000140623,ENSG00000132912,ENSG00000151929,ENSG00000136167,ENSG00000157510,ENSG00000173210,ENSG00000162738,ENSG00000101335,ENSG00000163092,ENSG00000089159,ENSG00000162458,ENSG00000168309,ENSG00000172403,ENSG00000130402,ENSG00000164078,ENSG00000168334,ENSG00000158352,ENSG00000133026,ENSG00000072110,ENSG00000140406,ENSG00000278224,ENSG00000050405,ENSG00000163110,ENSG00000051523,ENSG00000099204,ENSG00000185340,ENSG00000120156,ENSG00000100592,ENSG00000171992,ENSG00000105738,ENSG00000095637,ENSG00000120913,ENSG00000270765,ENSG00000160999,ENSG00000138758,ENSG00000131435,ENSG00000143632,ENSG00000183386,ENSG00000150764,ENSG00000078114,ENSG00000145012,ENSG00000122545,ENSG00000135723,ENSG00000105357,ENSG00000075618,ENSG00000197616,ENSG00000196923,ENSG00000107438,ENSG00000167460,ENSG00000197879,ENSG00000136068,ENSG00000184640,ENSG00000143079,ENSG00000039560,ENSG00000172725,ENSG00000065534,ENSG00000169398,ENSG00000100345,ENSG00000148935,ENSG00000164877,ENSG00000064666,ENSG00000107796,ENSG00000154330,ENSG00000196526,ENSG00000151914,ENSG00000100628,ENSG00000196405,ENSG00000118680,ENSG00000185483,ENSG00000159840,ENSG00000064042,ENSG00000101222,ENSG00000129116,ENSG00000092054,ENSG00000125503,ENSG00000087077,ENSG00000140416,ENSG00000169641,ENSG00000154553,ENSG00000077157,ENSG00000058272,ENSG00000122786,ENSG00000073712
